Area;Perimeter;Major_Axis_Length;Minor_Axis_Length;Eccentricity;Convex_Area;Extent;Class
14403;510;223;83;92;14781;59;Cammeo
12274;456;194;81;90;12562;70;Cammeo
12172;452;193;80;90;12430;67;Cammeo
14085;489;200;91;89;14670;62;Cammeo
12410;463;195;82;90;12849;56;Cammeo
13196;474;199;85;90;13463;55;Cammeo
13455;467;195;88;89;13723;75;Cammeo
12593;463;195;83;90;12907;69;Cammeo
14608;498;210;89;90;14951;65;Cammeo
12939;469;202;83;91;13165;65;Cammeo
13193;469;201;83;90;13535;73;Cammeo
11883;448;191;79;91;12103;55;Cammeo
13501;485;205;84;91;13896;65;Cammeo
12202;442;180;87;87;12521;77;Cammeo
13273;463;197;85;90;13462;58;Cammeo
12899;468;201;82;91;13132;70;Cammeo
13885;479;198;90;88;14271;78;Cammeo
13574;473;197;88;89;13879;64;Cammeo
14913;502;215;88;91;15300;69;Cammeo
16582;532;223;95;90;17089;71;Cammeo
12467;467;199;80;91;12900;78;Cammeo
13167;466;197;86;89;13448;58;Cammeo
13062;469;200;83;90;13279;66;Cammeo
14677;498;209;90;90;15060;64;Cammeo
14106;485;199;91;88;14515;57;Cammeo
14640;501;210;90;90;15119;58;Cammeo
12256;470;207;75;93;12541;73;Cammeo
14362;479;202;90;89;14606;59;Cammeo
12091;463;203;76;92;12298;79;Cammeo
12605;447;183;88;87;12859;59;Cammeo
14697;495;208;90;89;15073;59;Cammeo
14337;501;219;83;92;14631;74;Cammeo
13760;474;198;89;89;13989;63;Cammeo
16022;524;221;93;90;16545;54;Cammeo
11510;433;180;82;88;11827;76;Cammeo
12798;469;202;81;91;13152;78;Cammeo
13683;481;206;84;91;13922;76;Cammeo
14379;495;212;87;91;14834;79;Cammeo
13404;468;191;90;88;13804;70;Cammeo
12858;466;198;83;90;13095;54;Cammeo
15456;508;214;93;89;15884;78;Cammeo
14149;474;195;93;87;14454;60;Cammeo
13091;473;203;82;91;13451;75;Cammeo
16403;521;215;98;88;16867;58;Cammeo
13681;478;202;87;90;14015;64;Cammeo
14263;489;205;89;90;14637;66;Cammeo
12068;457;196;79;91;12347;59;Cammeo
15710;517;214;95;89;16259;60;Cammeo
15545;510;213;93;89;15909;56;Cammeo
12720;449;178;92;85;13095;74;Cammeo
15073;498;205;93;88;15476;61;Cammeo
11771;441;186;81;90;12109;61;Cammeo
14873;499;210;91;90;15195;57;Cammeo
14092;499;210;86;91;14618;77;Cammeo
14558;496;204;91;89;14908;56;Cammeo
13321;473;199;85;90;13758;56;Cammeo
10796;413;170;80;88;10980;62;Cammeo
14444;491;203;91;89;14773;57;Cammeo
13313;470;198;86;90;13560;57;Cammeo
15578;509;216;92;90;15864;80;Cammeo
13930;495;213;84;91;14564;54;Cammeo
12092;449;192;80;90;12298;58;Cammeo
13245;476;204;83;91;13536;79;Cammeo
14572;497;211;88;90;14926;62;Cammeo
12470;455;192;83;90;12704;58;Cammeo
15777;515;218;93;90;16111;56;Cammeo
14435;491;207;89;90;14842;57;Cammeo
12745;470;205;79;92;12940;53;Cammeo
13533;473;196;88;89;13897;60;Cammeo
12551;459;197;81;91;12741;81;Cammeo
14078;478;203;88;90;14280;74;Cammeo
13057;460;187;90;87;13385;75;Cammeo
14824;499;212;89;90;15141;57;Cammeo
14189;491;209;86;91;14496;55;Cammeo
15418;504;209;94;89;15779;58;Cammeo
14828;493;209;90;90;15090;60;Cammeo
11774;447;186;81;89;12103;56;Cammeo
13335;469;199;85;90;13657;61;Cammeo
11350;445;195;74;92;11544;58;Cammeo
13484;480;204;84;90;13827;65;Cammeo
13189;482;203;84;91;13635;59;Cammeo
12495;458;187;87;88;12993;67;Cammeo
12712;470;202;81;91;13053;81;Cammeo
13446;475;198;87;89;13765;57;Cammeo
14294;514;226;81;93;14731;51;Cammeo
12158;447;184;84;88;12467;63;Cammeo
13918;489;207;86;90;14263;71;Cammeo
13502;473;198;88;89;13778;75;Cammeo
13314;474;203;83;91;13627;74;Cammeo
14226;492;207;88;90;14465;57;Cammeo
12916;471;201;82;91;13199;55;Cammeo
13372;470;196;88;89;13745;58;Cammeo
14314;484;206;88;90;14536;75;Cammeo
13567;475;197;88;89;13940;63;Cammeo
14602;500;218;85;91;14827;58;Cammeo
11846;445;192;78;91;12010;57;Cammeo
14482;486;201;92;88;14825;64;Cammeo
12886;455;189;87;88;13080;59;Cammeo
11718;449;189;80;90;12133;63;Cammeo
13790;479;198;90;89;14190;58;Cammeo
14379;494;205;90;89;14768;57;Cammeo
11931;445;187;82;89;12174;64;Cammeo
12732;465;192;85;89;13105;56;Cammeo
12044;449;188;82;89;12342;56;Cammeo
14256;492;209;87;90;14730;70;Cammeo
14283;482;202;90;89;14595;63;Cammeo
11852;446;192;79;91;12029;71;Cammeo
13204;473;203;83;91;13430;59;Cammeo
13615;468;192;91;88;13855;58;Cammeo
13309;460;191;88;88;13540;65;Cammeo
12736;447;182;89;87;12964;75;Cammeo
14184;479;197;92;88;14537;60;Cammeo
14792;499;206;92;89;15326;69;Cammeo
10937;424;177;79;89;11103;59;Cammeo
14011;493;212;85;91;14336;62;Cammeo
13487;477;205;84;91;13772;73;Cammeo
13115;461;195;86;89;13381;73;Cammeo
14518;491;203;92;89;14877;74;Cammeo
10610;410;171;79;88;10769;82;Cammeo
13173;467;194;87;89;13443;57;Cammeo
14232;492;205;89;89;14620;71;Cammeo
12888;467;199;83;90;13222;72;Cammeo
14300;504;212;87;91;14772;54;Cammeo
13446;476;200;86;90;13814;60;Cammeo
14250;486;201;91;88;14636;59;Cammeo
13634;491;209;83;91;14075;78;Cammeo
15752;519;216;94;90;16426;60;Cammeo
14892;503;209;91;89;15338;65;Cammeo
13636;482;202;86;90;13982;58;Cammeo
13548;479;203;85;90;13850;55;Cammeo
13655;477;203;86;90;13857;73;Cammeo
14974;498;210;90;90;15212;64;Cammeo
14695;506;214;88;90;15086;54;Cammeo
15080;512;211;92;90;15533;56;Cammeo
15977;516;216;94;89;16401;62;Cammeo
13380;469;190;91;87;13747;61;Cammeo
12006;463;198;77;92;12344;53;Cammeo
14275;485;206;88;90;14469;54;Cammeo
15469;514;221;89;91;15860;54;Cammeo
13436;467;195;89;88;13798;79;Cammeo
13147;468;199;84;90;13431;68;Cammeo
13912;480;206;86;90;14107;80;Cammeo
15153;514;218;90;91;15628;68;Cammeo
11965;455;196;78;91;12247;65;Cammeo
10727;425;178;77;90;10960;56;Cammeo
13636;481;203;86;90;13888;54;Cammeo
13650;475;199;87;89;13859;57;Cammeo
14284;499;213;86;91;14678;70;Cammeo
13654;477;199;87;89;13914;57;Cammeo
14828;494;202;95;88;15197;59;Cammeo
13787;474;194;91;88;14075;61;Cammeo
12744;467;200;81;91;13047;71;Cammeo
15149;509;214;91;90;15516;70;Cammeo
13728;488;208;84;91;14052;55;Cammeo
12386;467;201;79;91;12679;79;Cammeo
14753;494;212;89;90;15051;81;Cammeo
12924;474;203;81;91;13150;53;Cammeo
14761;499;210;90;90;15197;65;Cammeo
13513;473;196;89;88;13867;74;Cammeo
15868;519;219;93;90;16281;57;Cammeo
14755;510;218;86;91;15025;53;Cammeo
11141;431;181;79;89;11372;79;Cammeo
14814;503;217;88;91;15110;54;Cammeo
12153;451;187;83;89;12497;70;Cammeo
14026;494;212;84;91;14267;54;Cammeo
14269;501;214;85;91;14733;70;Cammeo
11999;465;194;80;91;12364;53;Cammeo
13932;495;213;84;91;14297;55;Cammeo
11733;436;182;82;89;11955;68;Cammeo
14321;490;204;90;89;14622;57;Cammeo
13637;482;205;85;90;13952;55;Cammeo
13803;492;207;87;90;14174;56;Cammeo
13533;469;192;91;88;13954;62;Cammeo
12892;482;204;82;91;13376;65;Cammeo
14960;496;209;91;89;15198;76;Cammeo
16603;513;213;99;88;16922;60;Cammeo
15676;509;212;94;89;16009;57;Cammeo
14136;488;203;89;89;14475;59;Cammeo
12758;456;190;86;89;13177;70;Cammeo
16608;516;207;103;86;17111;69;Cammeo
12318;448;187;84;89;12579;58;Cammeo
11068;419;174;81;88;11242;60;Cammeo
14235;505;214;87;91;14687;68;Cammeo
13117;460;192;87;89;13575;78;Cammeo
13562;474;194;90;88;13871;71;Cammeo
14897;509;219;87;91;15330;71;Cammeo
13662;466;191;91;87;13875;58;Cammeo
11694;432;181;82;88;11893;76;Cammeo
15151;496;207;93;89;15547;76;Cammeo
12597;451;189;85;89;12858;68;Cammeo
13923;488;209;85;91;14165;53;Cammeo
15323;487;192;102;84;15769;71;Cammeo
14390;497;216;85;91;14586;53;Cammeo
14952;488;203;94;88;15187;61;Cammeo
14419;491;203;91;89;14906;62;Cammeo
12556;474;207;77;92;12832;56;Cammeo
14658;486;201;93;88;14892;64;Cammeo
12907;466;194;85;89;13268;63;Cammeo
14838;500;211;90;90;15165;78;Cammeo
15681;507;207;97;88;16088;69;Cammeo
14734;507;217;86;91;15039;68;Cammeo
15607;505;208;96;88;16030;72;Cammeo
15292;510;219;89;91;15511;54;Cammeo
11577;431;178;83;88;11810;75;Cammeo
13174;480;203;83;91;13606;54;Cammeo
14305;491;207;88;90;14633;57;Cammeo
14547;491;206;90;89;14780;59;Cammeo
11794;430;178;84;87;12056;75;Cammeo
12004;449;186;83;89;12417;75;Cammeo
15285;495;206;94;88;15517;66;Cammeo
14385;496;214;86;91;14604;77;Cammeo
14034;491;205;88;90;14448;55;Cammeo
13399;490;209;82;91;13654;51;Cammeo
14960;510;218;88;91;15235;57;Cammeo
13811;485;209;85;91;14083;69;Cammeo
17564;527;221;101;88;17808;77;Cammeo
14680;495;206;91;89;15091;61;Cammeo
14180;485;204;89;89;14471;61;Cammeo
13387;464;192;90;88;13746;75;Cammeo
15611;506;215;93;90;15806;73;Cammeo
12426;451;185;87;88;12779;62;Cammeo
14196;499;210;87;91;14509;61;Cammeo
12609;475;202;81;91;13210;70;Cammeo
14750;484;201;94;88;14967;78;Cammeo
15290;500;204;96;88;15605;78;Cammeo
15879;517;216;94;89;16484;68;Cammeo
14330;493;209;87;90;14701;61;Cammeo
14155;480;200;91;89;14462;72;Cammeo
13939;484;207;86;90;14233;64;Cammeo
12488;469;200;80;91;12932;74;Cammeo
13447;455;183;94;85;13867;62;Osmancik
13233;459;192;88;88;13436;58;Osmancik
12538;452;188;86;88;12846;68;Osmancik
11881;439;183;83;89;12097;58;Osmancik
11750;428;178;84;88;11869;60;Osmancik
13700;455;185;94;86;13893;61;Osmancik
12121;439;183;84;88;12389;64;Osmancik
12148;434;177;88;86;12437;75;Osmancik
12675;456;186;88;88;13098;61;Osmancik
12432;453;190;84;89;12728;76;Osmancik
10982;421;177;78;89;11167;59;Osmancik
11672;430;177;84;87;11849;59;Osmancik
12546;442;184;87;88;12744;67;Osmancik
12357;452;189;84;89;12666;64;Osmancik
11455;405;159;92;81;11639;77;Osmancik
13054;478;203;83;91;13329;79;Osmancik
12233;425;170;92;84;12388;64;Osmancik
13518;451;185;93;86;13741;78;Osmancik
11605;429;175;85;87;11933;60;Osmancik
13010;463;194;86;89;13349;77;Osmancik
12293;442;180;88;87;12607;60;Osmancik
11903;433;180;84;88;12104;68;Osmancik
11136;427;175;81;88;11474;57;Osmancik
10681;421;178;77;89;10929;55;Osmancik
13333;467;196;87;89;13589;69;Osmancik
11438;433;178;83;88;11767;74;Osmancik
11480;419;170;86;86;11674;78;Osmancik
12725;441;170;97;81;13081;64;Osmancik
11715;439;183;82;89;11948;60;Osmancik
12659;453;188;86;88;12887;66;Osmancik
11201;423;175;83;87;11386;59;Osmancik
11382;418;169;86;86;11575;62;Osmancik
12388;440;175;92;85;12753;61;Osmancik
13078;452;183;91;86;13385;73;Osmancik
10774;401;164;83;86;10944;66;Osmancik
12408;454;191;83;90;12664;58;Osmancik
12345;440;180;88;87;12591;73;Osmancik
10286;401;159;83;85;10524;77;Osmancik
12340;466;196;80;91;12774;74;Osmancik
14723;490;205;92;89;15013;57;Osmancik
11042;411;168;84;86;11217;79;Osmancik
13335;474;197;87;89;13702;66;Osmancik
12274;441;179;87;87;12587;61;Osmancik
11358;430;177;82;88;11546;75;Osmancik
12289;444;186;84;89;12448;76;Osmancik
12900;461;195;84;90;13160;59;Osmancik
12288;437;179;88;87;12498;80;Osmancik
12466;439;177;90;86;12707;60;Osmancik
11380;423;172;85;86;11620;67;Osmancik
12016;443;189;81;90;12186;74;Osmancik
9431;383;159;75;88;9556;77;Osmancik
11413;421;171;85;86;11688;69;Osmancik
11108;416;166;86;85;11420;68;Osmancik
12994;453;192;86;89;13152;81;Osmancik
10862;412;167;83;86;11050;67;Osmancik
11883;429;171;89;85;12179;76;Osmancik
12673;441;177;92;85;12950;62;Osmancik
12921;449;181;92;86;13209;62;Osmancik
10685;416;173;79;88;10871;70;Osmancik
10267;424;182;72;91;10455;54;Osmancik
12042;441;182;85;88;12302;64;Osmancik
11465;410;160;92;81;11706;75;Osmancik
11592;428;177;83;88;11764;75;Osmancik
12110;448;191;80;90;12313;61;Osmancik
11077;417;175;80;88;11246;67;Osmancik
11539;434;178;83;88;11788;70;Osmancik
12526;439;178;90;86;12819;66;Osmancik
9967;400;167;76;88;10128;66;Osmancik
11395;421;169;86;85;11586;62;Osmancik
11022;417;168;84;86;11259;60;Osmancik
12495;451;182;88;87;12902;59;Osmancik
11545;431;174;85;87;11911;65;Osmancik
13021;455;185;91;87;13380;70;Osmancik
11267;421;170;86;86;11576;74;Osmancik
11329;414;168;86;86;11540;78;Osmancik
12743;435;176;92;85;12897;63;Osmancik
11739;434;179;84;88;12032;77;Osmancik
11489;432;182;81;89;11683;79;Osmancik
12059;431;171;90;84;12359;69;Osmancik
11316;418;170;85;86;11497;60;Osmancik
9776;403;170;73;90;9969;64;Osmancik
11319;414;164;88;84;11563;74;Osmancik
10561;405;168;80;88;10709;60;Osmancik
10640;411;169;81;87;10901;66;Osmancik
10030;414;181;70;92;10152;77;Osmancik
9746;382;154;81;84;9935;66;Osmancik
11990;416;166;91;83;12145;66;Osmancik
11941;434;174;89;85;12249;75;Osmancik
13002;458;187;89;87;13319;67;Osmancik
10387;400;164;81;87;10536;80;Osmancik
11462;432;180;81;89;11725;69;Osmancik
11955;454;196;78;91;12127;55;Osmancik
12571;453;188;86;88;12847;79;Osmancik
9760;399;167;75;89;10012;61;Osmancik
12912;459;188;88;88;13205;69;Osmancik
12358;447;183;87;87;12586;58;Osmancik
12556;437;180;89;86;12735;71;Osmancik
10335;416;178;74;90;10504;71;Osmancik
12387;444;178;90;86;12753;64;Osmancik
11674;425;175;85;87;11865;64;Osmancik
12243;449;182;87;87;12744;77;Osmancik
11928;427;175;87;86;12121;62;Osmancik
12994;457;187;89;87;13335;76;Osmancik
11310;424;173;84;87;11629;71;Osmancik
10151;420;181;72;91;10407;52;Osmancik
11818;433;175;86;86;12118;71;Osmancik
11622;425;173;86;86;11941;60;Osmancik
10650;407;165;83;86;10851;61;Osmancik
10736;416;176;78;89;10930;79;Osmancik
11893;435;176;87;86;12243;77;Osmancik
11866;436;176;87;86;12210;61;Osmancik
11168;440;182;79;90;11628;54;Osmancik
12405;437;178;89;86;12615;81;Osmancik
11327;415;171;84;87;11497;80;Osmancik
11533;424;174;85;87;11773;73;Osmancik
11658;424;170;88;85;11963;68;Osmancik
13259;464;198;85;90;13445;58;Osmancik
12031;446;178;88;86;12425;58;Osmancik
10924;414;170;82;87;11171;67;Osmancik
13388;466;191;90;88;13644;75;Osmancik
12723;460;185;89;87;13302;67;Osmancik
12190;440;185;83;89;12349;58;Osmancik
9778;395;168;74;89;9956;62;Osmancik
12994;460;195;86;89;13196;81;Osmancik
12482;448;185;87;88;12744;59;Osmancik
12590;463;197;82;90;12880;60;Osmancik
10369;402;159;84;84;10723;63;Osmancik
10037;395;164;78;87;10210;76;Osmancik
10964;417;171;82;87;11247;59;Osmancik
12024;436;182;84;88;12235;62;Osmancik
9753;402;170;73;90;10028;56;Osmancik
11350;445;187;78;90;11771;67;Osmancik
13693;474;198;89;89;14050;59;Osmancik
12140;441;182;85;88;12358;58;Osmancik
10249;404;165;80;87;10486;67;Osmancik
8813;387;164;68;90;9005;73;Osmancik
11889;426;172;89;85;12162;61;Osmancik
10886;409;166;84;86;11055;68;Osmancik
9772;392;164;76;88;9971;78;Osmancik
11343;416;171;84;86;11492;73;Osmancik
10792;416;171;81;87;11037;59;Osmancik
10788;414;169;82;87;11083;64;Osmancik
11626;420;168;89;84;11857;63;Osmancik
9903;398;163;79;87;10152;59;Osmancik
10445;405;167;80;87;10680;63;Osmancik
9961;397;166;77;88;10130;62;Osmancik
10694;405;163;84;85;10891;75;Osmancik
11719;430;175;86;87;12000;69;Osmancik
12415;445;184;87;88;12719;65;Osmancik
10587;399;166;81;87;10723;63;Osmancik
11725;427;174;86;86;11954;63;Osmancik
11659;429;173;87;86;11912;60;Osmancik
10733;402;166;82;86;10876;70;Osmancik
12215;445;180;87;87;12448;58;Osmancik
10727;420;174;79;88;11009;67;Osmancik
11304;419;171;84;86;11504;72;Osmancik
11321;424;173;84;87;11631;62;Osmancik
10488;416;175;77;89;10720;71;Osmancik
13002;465;191;87;88;13345;73;Osmancik
11772;434;183;82;89;11937;65;Osmancik
10951;415;173;81;88;11116;65;Osmancik
11639;432;178;83;88;11940;59;Osmancik
11580;428;173;86;86;11921;74;Osmancik
10380;399;164;80;87;10630;70;Osmancik
11329;419;173;84;87;11560;80;Osmancik
11528;433;182;81;89;11777;78;Osmancik
9428;398;164;74;89;9760;67;Osmancik
11480;422;171;86;86;11781;64;Osmancik
10737;414;170;81;87;10986;61;Osmancik
11144;410;164;87;84;11378;63;Osmancik
11696;443;186;80;90;11952;73;Osmancik
11226;413;168;85;86;11424;77;Osmancik
12478;439;176;91;85;12754;63;Osmancik
12756;442;177;92;85;13028;70;Osmancik
11769;426;176;85;87;11928;79;Osmancik
11962;440;181;85;88;12283;62;Osmancik
12734;462;188;87;88;13069;58;Osmancik
10765;413;164;84;85;11127;60;Osmancik
10926;416;173;80;88;11113;63;Osmancik
11080;429;175;82;88;11277;56;Osmancik
10536;412;162;84;85;10974;68;Osmancik
10066;413;177;73;91;10262;54;Osmancik
11398;431;179;81;88;11627;59;Osmancik
11363;416;168;86;85;11594;63;Osmancik
11074;426;182;77;90;11291;74;Osmancik
10612;413;169;80;87;10924;67;Osmancik
10846;418;172;81;88;11069;68;Osmancik
12275;454;181;87;87;12709;69;Osmancik
13111;467;193;88;89;13456;61;Osmancik
11327;423;169;86;85;11657;71;Osmancik
10831;425;182;76;90;11017;58;Osmancik
10878;423;179;77;90;11015;58;Osmancik
11166;414;165;87;85;11478;67;Osmancik
11280;420;170;85;86;11582;64;Osmancik
8810;384;164;68;90;8987;58;Osmancik
12742;446;180;91;86;12954;79;Osmancik
10724;421;168;83;86;10988;59;Osmancik
11277;417;166;87;85;11597;64;Osmancik
11000;413;167;84;86;11158;79;Osmancik
11678;423;173;86;86;11839;62;Osmancik
11679;439;181;83;88;11949;56;Osmancik
10756;420;170;81;87;10957;59;Osmancik
10271;415;177;74;90;10422;56;Osmancik
11740;440;181;83;88;12030;57;Osmancik
10150;405;169;76;89;10358;63;Osmancik
10691;407;163;84;85;10921;61;Osmancik
11756;438;184;82;89;11969;65;Osmancik
12504;445;182;88;87;12781;79;Osmancik
11440;425;170;87;85;11750;66;Osmancik
10943;411;171;82;87;11155;62;Osmancik
12840;454;184;89;87;13185;72;Osmancik
11546;429;175;84;87;11757;60;Osmancik
10774;428;179;77;90;11033;71;Osmancik
11392;427;173;85;86;11638;59;Osmancik
10360;427;187;70;92;10525;54;Osmancik
12075;430;176;88;86;12248;80;Osmancik
10796;410;165;84;86;11060;68;Osmancik
10549;414;170;80;88;10868;61;Osmancik
10950;412;166;85;85;11172;77;Osmancik
11923;437;184;83;89;12093;76;Osmancik
12181;430;177;87;87;12353;75;Osmancik
10898;414;170;82;87;11094;60;Osmancik
11642;427;171;87;85;11946;73;Osmancik
12170;441;181;86;87;12373;77;Osmancik
11774;433;180;84;88;12036;79;Osmancik
10842;412;167;84;86;11105;67;Osmancik
11914;430;172;90;85;12215;71;Osmancik
11766;423;171;88;85;11954;63;Osmancik
11293;424;178;81;88;11473;74;Osmancik
10222;423;182;72;91;10421;82;Osmancik
13218;454;182;93;85;13459;73;Osmancik
10693;408;167;82;87;10911;74;Osmancik
9963;410;171;75;89;10251;71;Osmancik
9028;390;165;69;90;9260;77;Osmancik
10728;415;169;81;87;10996;59;Osmancik
12558;439;173;93;84;12804;63;Osmancik
12362;448;181;88;87;12720;63;Osmancik
11242;418;172;83;87;11409;64;Osmancik
11969;431;177;86;87;12135;60;Osmancik
10085;412;172;75;90;10351;69;Osmancik
13050;460;187;89;87;13379;59;Osmancik
11618;434;179;83;88;11820;61;Osmancik
11572;418;164;90;83;11861;66;Osmancik
10666;416;173;78;89;10825;59;Osmancik
10182;404;168;77;88;10369;79;Osmancik
9764;390;160;78;87;9956;64;Osmancik
11856;431;174;88;86;12188;61;Osmancik
12060;438;177;87;87;12420;64;Osmancik
11765;429;174;86;86;11963;61;Osmancik
15420;503;206;96;88;15800;58;Osmancik
11101;418;169;84;86;11340;65;Osmancik
10360;408;165;81;87;10649;78;Osmancik
10392;416;177;75;90;10559;56;Osmancik
9359;395;168;71;90;9555;57;Osmancik
10367;413;176;75;90;10529;56;Osmancik
11652;428;169;89;84;12067;73;Osmancik
11211;410;162;88;83;11408;64;Osmancik
11525;433;184;80;90;11697;61;Osmancik
10908;414;174;80;88;11062;75;Osmancik
12444;445;183;87;87;12630;60;Osmancik
10442;407;166;81;87;10668;65;Osmancik
13672;467;183;97;84;14027;61;Osmancik
11297;418;172;84;87;11482;62;Osmancik
12075;434;179;86;87;12229;60;Osmancik
11274;425;173;83;87;11526;65;Osmancik
11458;418;169;87;85;11668;75;Osmancik
11675;429;173;86;86;11888;73;Osmancik
11048;424;169;84;86;11419;69;Osmancik
12624;451;188;86;88;12878;80;Osmancik
11540;427;172;86;86;11765;60;Osmancik
12531;459;192;84;90;12846;56;Osmancik
11480;432;174;85;87;11833;59;Osmancik
11815;430;177;85;87;11993;70;Osmancik
12469;446;191;83;90;12625;59;Osmancik
11363;419;170;86;86;11699;69;Osmancik
12661;436;174;93;84;12898;70;Osmancik
11069;419;170;83;87;11333;65;Osmancik
9843;383;154;81;85;10024;70;Osmancik
12058;445;184;84;88;12308;70;Osmancik
12287;444;181;87;87;12508;65;Osmancik
11693;424;176;84;87;11842;60;Osmancik
11341;437;181;80;89;11669;76;Osmancik
12960;460;191;86;89;13211;58;Osmancik
12172;433;174;90;85;12401;63;Osmancik
12396;443;184;86;88;12546;58;Osmancik
12203;442;184;85;88;12418;79;Osmancik
13049;469;196;85;89;13409;72;Osmancik
12507;458;184;88;87;12877;57;Osmancik
10499;403;162;83;85;10749;74;Osmancik
11543;431;179;82;88;11786;60;Osmancik
12311;450;194;81;90;12441;55;Osmancik
10563;408;167;81;87;10782;61;Osmancik
12683;448;186;87;88;12847;59;Osmancik
